Year,State,Data Status,Rev_Thousand Dollars,Sales_Megawatthours,Customers_Count,Price_Cents/kWh
2020,NJ,Final,4756754,29676857,3618587,16.03
2020,NM,Final,942023,7282079,905885,12.94
2020,NV,Final,1624395,14321607,1226566,11.34
2020,NY,Final,9596805,52257144,7239160,18.36
2020,OH,Final,6457167,52552770,5014955,12.29
2020,OK,Final,2350122,23232473,1795621,10.12
2020,OR,Final,2191867,19628011,1785128,11.17
2020,PA,Final,7511991,55307093,5448106,13.58
2020,RI,Final,692840,3148021,441572,22.01
2020,SC,Final,3940889,30826017,2377019,12.78
2020,SD,Final,595509,5070024,407526,11.75
2020,TN,Final,4420255,41084911,2930481,10.76
2020,TX,Final,18322011,156414819,11515321,11.71
2020,UT,Final,1100682,10546793,1143134,10.44
2020,VA,Final,5542948,46088846,3506844,12.03
2020,VT,Final,421376,2157001,316948,19.54
2020,WA,Final,3639303,36858798,3168236,9.87
2020,WI,Final,3271758,22846734,2742419,14.32
2020,WV,Final,1283976,10877499,862277,11.8
2020,WY,Final,319940,2879528,276030,11.11
2020,US,Final,192663208,1464605046,136681866,13.15
2019,AK,Final,441887,1928208,289292,22.92
2019,AL,Final,4061182,32415646,2249426,12.53
2019,AR,Final,1834859,18732316,1396869,9.8
2019,AZ,Final,4317059,34720050,2853182,12.43
2019,CA,Final,16763780,87523987,13707126,19.15
2019,CO,Final,2362565,19404743,2370162,12.18
2019,CT,Final,2732697,12493550,1510966,21.87
2019,DC,Final,330686,2546920,282277,12.98
2019,DE,Final,627984,5004131,439168,12.55
2019,FL,Final,14882751,127181551,9565845,11.7
2019,GA,Final,6979149,59331491,4411521,11.76
2019,HI,Final,884847,2759774,438352,32.06
2019,IA,Final,1805899,14494821,1392978,12.46
2019,ID,Final,860048,8696843,763842,9.89
2019,IL,Final,5890958,45220258,5314523,13.03
2019,IN,Final,4182919,33249234,2887031,12.58
2019,KS,Final,1732742,13630661,1274955,12.71
2019,KY,Final,2869131,26573076,1991139,10.8
2019,LA,Final,3035095,30986024,2095466,9.8
2019,MA,Final,4233106,19314571,2802098,21.92
2019,MD,Final,3611327,27533693,2352534,13.12
2019,ME,Final,857569,4793809,710869,17.89
